Vivado Simulator 2019.2
Time resolution is 1 ps
Sel, 	A, 	B, 	C, 	D, 	Y
0, 	00000001, 	00000010, 	00000011, 	00000100, 	00000001
1, 	00000001, 	00000010, 	00000011, 	00000100, 	00000010
2, 	00000001, 	00000010, 	00000011, 	00000100, 	00000011
3, 	00000001, 	00000010, 	00000011, 	00000100, 	00000100
0, 	00000001, 	00000010, 	00000011, 	00000100, 	00000001
1, 	00000001, 	00000010, 	00000011, 	00000100, 	00000010
2, 	00000001, 	00000010, 	00000011, 	00000100, 	00000011
3, 	00000001, 	00000010, 	00000011, 	00000100, 	00000100
0, 	00000001, 	00000010, 	00000011, 	00000100, 	00000001
1, 	00000001, 	00000010, 	00000011, 	00000100, 	00000010
2, 	00000001, 	00000010, 	00000011, 	00000100, 	00000011
3, 	00000001, 	00000010, 	00000011, 	00000100, 	00000100
0, 	00000001, 	00000010, 	00000011, 	00000100, 	00000001
1, 	00000001, 	00000010, 	00000011, 	00000100, 	00000010
2, 	00000001, 	00000010, 	00000011, 	00000100, 	00000011
3, 	00000001, 	00000010, 	00000011, 	00000100, 	00000100
0, 	00000001, 	00000010, 	00000011, 	00000100, 	00000001
1, 	00000001, 	00000010, 	00000011, 	00000100, 	00000010
2, 	00000001, 	00000010, 	00000011, 	00000100, 	00000011
3, 	00000001, 	00000010, 	00000011, 	00000100, 	00000100
